claim_id,recommended_location,priority,safe_claim,caveat,evidence,authoritative_source,final_inclusion_status,requires_aug31_refresh,claim_status,prohibited_overstatement,final_empirical_decision,why
C01,main_text,core,Converting the deterministic forecast into a probabilistic distribution explains most of the weather-model gain; the static Gaussian accounts for 95.8% of the raw-to-selected-GP CRPS improvement.,"This is an attribution ratio within the specified weather models, not a causal decomposition.",W01-W04,True,MAIN_OR_DISCUSSION,False,FINAL,"This is an attribution ratio within the specified weather models, not a causal decomposition.",KEEP_MAIN_OR_DISCUSSION,Directly advances the seven-question thesis narrative.
C02,main_text,core,"On July-August market books, the static correction is at least as close to Polymarket as the selected GP in total variation; its raw-to-GP improvement share is 100.4%.","Total variation measures probability-book distance, not forecast correctness.",M04-M06,True,MAIN_OR_DISCUSSION,False,FINAL,"Total variation measures probability-book distance, not forecast correctness.",KEEP_MAIN_OR_DISCUSSION,Directly advances the seven-question thesis narrative.
C03,main_text,core,The development-selected convex pool assigns 18.8% weight to the GP and 81.2% to Polymarket.,The weight is a proper-score optimum within the restricted convex-pool family and is not an information-share decomposition.,M03,True,MAIN_OR_DISCUSSION,False,FINAL,The weight is a proper-score optimum within the restricted convex-pool family and is not an information-share decomposition.,KEEP_MAIN_OR_DISCUSSION,Directly advances the seven-question thesis narrative.
C04,main_text,core,"The convex pool has the lowest external categorical log-loss point estimate, but its advantage over Polymarket is not statistically resolved.",Do not claim that the pool significantly beats Polymarket.,M07-M11,True,MAIN_OR_DISCUSSION,False,FINAL,Do not claim that the pool significantly beats Polymarket.,KEEP_MAIN_OR_DISCUSSION,Directly advances the seven-question thesis narrative.
C05,main_text,core,The frozen trading policy uses the 24-hour decision rule and a 0.15 GP-minus-raw-market probability-gap threshold selected using March-June only.,Rule choice is support-sensitive in the common-date diagnostic and should not be described as an intrinsically optimal forecast horizon.,"T01-T02,R01",True,MAIN_OR_DISCUSSION,False,FINAL,Rule choice is support-sensitive in the common-date diagnostic and should not be described as an intrinsically optimal forecast horizon.,KEEP_MAIN_OR_DISCUSSION,Directly advances the seven-question thesis narrative.
C06,main_text,core,"Across the currently settled July-August sample, the frozen selected-GP policy earns 2.451 net PnL from 12 trades with a non-annualised settlement-date Sharpe of 0.192.",Historical YES records are reduced-form entry proxies; 31 August remains pending in the current run.,T05-T08,True,MAIN_OR_DISCUSSION,False,FINAL,Historical YES records are reduced-form entry proxies; 31 August remains pending in the current run.,KEEP_MAIN_OR_DISCUSSION,Directly advances the seven-question thesis narrative.
C07,main_text,core,The simple static probabilistic correction accounts for 91.7% of the raw-to-GP external PnL improvement under the frozen policy.,This is fixed-policy attribution: raw and static signals are not separately re-optimised.,"T03-T05,T09",True,MAIN_OR_DISCUSSION,False,FINAL,This is fixed-policy attribution: raw and static signals are not separately re-optimised.,KEEP_MAIN_OR_DISCUSSION,Directly advances the seven-question thesis narrative.
C08,main_text,core,"The external GP PnL point estimate is positive, but inferential strength depends on temporal-resampling assumptions: unresolved.",Do not write a blanket claim of statistically significant profitability.,T10-T11,True,MAIN_OR_DISCUSSION,False,FINAL,Do not write a blanket claim of statistically significant profitability.,KEEP_MAIN_OR_DISCUSSION,Directly advances the seven-question thesis narrative.
C09,main_text,core,Temperature perturbations transmit nonlinearly into strategy PnL because smooth event-probability changes interact with contract selection and the discrete trading threshold.,"Finite portfolio slopes are stress sensitivities, not a single global classical delta.",forecast-risk stress and finite-slope outputs,True,MAIN_OR_DISCUSSION,False,FINAL,"Finite portfolio slopes are stress sensitivities, not a single global classical delta.",KEEP_MAIN_OR_DISCUSSION,Directly advances the seven-question thesis narrative.
C10,main_text_or_discussion,important_caveat,"The prespecified rule-specific-support procedure selects 24h_prior, whereas the common-date diagnostic favours 12h_prior; rule selection therefore shows some support-composition sensitivity.",The common-support result is diagnostic and does not replace the frozen policy.,rule_support_robustness.csv,True,MAIN_OR_DISCUSSION,False,FINAL,The common-support result is diagnostic and does not replace the frozen policy.,KEEP_MAIN_OR_DISCUSSION,Directly advances the seven-question thesis narrative.
