metric,expected,observed,status,source,method
weather_only_dates,730,730,PASSED,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv,independent panel scan
weather_only_date_rule_rows,2920,2920,PASSED,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv,independent panel scan
decision_rules,4,4,PASSED,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv,independent panel scan
chronological_validation_dates,365,365,PASSED,outputs/v2/diagnostics/07_gp_validation_predictions.csv,independent panel scan
initial_training_dates,365,365,PASSED,outputs/v2/diagnostics/05_weather_only_forecast_residual_panel.csv|outputs/v2/diagnostics/07_gp_validation_predictions.csv,weather-only dates minus chronological validation dates
settlement_market_dates,103,103,PASSED,data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_certified_contract_outcome_panel.csv,independent panel scan
canonical_contract_rows,1133,1133,PASSED,data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_certified_contract_outcome_panel.csv,independent panel scan
forecast_supported_dates,102,102,PASSED,outputs/v2/diagnostics/phase9_gp_event_probabilities/phase9_gp_contract_event_probability_panel.csv,independent panel scan
forecast_supported_date_rule_rows,375,375,PASSED,outputs/v2/diagnostics/phase9_gp_event_probabilities/phase9_gp_contract_event_probability_panel.csv,independent panel scan
theoretical_market_date_rule_rows,412,412,PASSED,data/processed/18s_expanded_march_june_canonical_sample/18s_expanded_certified_contract_outcome_panel.csv,settlement dates multiplied by four rules
unsupported_date_rule_rows,37,37,PASSED,outputs/v2/diagnostics/phase9_gp_event_probabilities/phase9_gp_contract_event_probability_panel.csv,theoretical support minus certified support
exact_common_support_dates,97,97,PASSED,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv,independent panel scan
exact_common_support_date_rule_books,350,350,PASSED,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv,independent panel scan
exact_common_support_event_rows,3850,3850,PASSED,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv,independent panel scan
weather_plus_market_development_dates,67,67,PASSED,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv,dates with month at most May
june_external_dates,30,30,PASSED,outputs/v2/diagnostics/phase10_gp_market_comparison/phase10_exact_common_support_event_panel.csv,June dates
