check,passed,critical,detail
phase6_dependency,True,True,critical_failures=0
phase7_dependency,True,True,critical_failures=0
phase8_dependency,True,True,critical_failures=0
phase8_completion_dependency,True,True,rows=1
working_branch,True,True,current=edward-v70-empirical-finalisation; expected=edward-v70-empirical-finalisation
frozen_tag_is_ancestor,True,True,tag_commit=cf5146d6a11022178548cea6187e8d075b9d174d; head=8b843942e705c678b2bfe35b20c43c626049e105
shifted_event_panel_available,True,False,rows=34650
strategy_registry_nonempty,True,True,strategies=94500
exact_support_dates,True,True,dates=97
outer_design_complete,True,True,outer_dates=60
all_strategies_retained,True,True,results=94500; registry=94500
long_only_track_present,True,True,observed-price long-only strategies retained
synthetic_short_track_labelled,True,True,synthetic short-inclusive strategies explicitly labelled
multiple_testing_outputs,True,True,"DSR, PBO and reality check generated"
figures_created,True,True,figures=7
