check,passed,observed,expected,note
weather_stage_pass,True,PASS,PASS,
market_stage_pass,True,PASS,PASS,
trading_stage_pass,True,PASS,PASS,
weather_kernel_frozen_matern32,True,matern32,matern32,
pool_weight_frozen_0188,True,0.188,0.188,
trading_rule_frozen_24h,True,24h_prior,24h_prior,
trading_threshold_frozen_015,True,0.15,0.15,
external_not_used_for_selection,True,"(False, False)","(False, False)",
threshold_diagnostic_contains_one_frozen_baseline,True,1,1,
threshold_diagnostic_baseline_matches_trading_summary,True,2.451,2.451,
monthly_raw_sums_to_external_total,True,0.39699999999999974,0.3970000000000003,
monthly_static_sums_to_external_total,True,2.281,2.281,
monthly_selected_gp_sums_to_external_total,True,2.451,2.451,
leave_one_out_identity,True,1,1,
top_removal_baseline_matches_external_gp,True,2.451,2.451,
bootstrap_reconciliation_contains_gp_method,True,1,1,
cost_baseline_matches_external_gp,True,2.451,2.451,
static_captures_at_least_90pct_in_all_three_domains,True,3,3,Cross-stage synthesis only; this does not mean the static model dominates every individual metric.
reproducibility_manifest_all_files_exist,True,26,26,
thesis_output_manifest_main_files_exist,True,6,6,
pending_target_status_is_expected,True,[],[] or ['2026-08-31'],
support_diagnostic_does_not_change_policy,True,2,2,
