claim_id,domain,status,evidence_ids,safe_thesis_wording,prohibited_overstatement,preferred_location
C01,settlement_error,supported,P2_MEAN|P2_UNDER,The deterministic IFS local-day maximum exhibits a persistent cold discrepancy relative to the HKO settlement maximum.,Do not identify the discrepancy as a proven physical model bias or a single causal mechanism.,Results 6.2 and Discussion
C02,forecast_attribution,supported,P4_MEAN_RAW|P4_MEAN_STATIC|P4_CONTRAST_MATERN_MINUS_STATIC|P4_CONTRAST_MATERN_MINUS_RBF,"Most of the distributional improvement is attributable to rule-specific local settlement correction, with a smaller increment from conditional Matérn GP structure.",Do not claim that the GP is the dominant source of skill.,Results attribution and Discussion
C03,information_arrival,supported_with_scope,P3_ENDPOINT_MAE|P3_CRPS_MATERN,Later forecasts modestly improve accuracy over the retained one-day decision window.,Do not claim that later information removes the structural settlement discrepancy or identify causal information channels.,Results or appendix
C04,calibration,supported_with_limitation,P5_COVERAGE_50|P5_COVERAGE_80|P5_COVERAGE_90|P5_LAG1_Z|P5_LAG1_Z2|P5_VARIANCE_WALD,The selected predictive law is broadly useful but mildly underdispersed and retains serial and conditional-variance misspecification.,Do not describe the Gaussian GP law as fully calibrated or conditionally well specified.,Results diagnostics and Discussion
C05,market_comparison,supported_on_june_exact_support,P6_JUNE_BINARY_BRIER|P6_JUNE_BINARY_LOG|P6_JUNE_CATEGORICAL_LOG|P6_JUNE_MULTICLASS_BRIER,"On the pre-designated June exact support, Polymarket has lower realised loss than the selected Matérn law under all four retained proper scores.",Do not claim universal market dominance outside the 30-date June external period.,Results market comparison
C06,market_information,supported_descriptively,P6_JUNE_EXTERNAL_TOTAL_VARIATION_MARKET_MATERN|P6_JUNE_EXTERNAL_EXPECTED_RANK_MARKET_MINUS_MATERN|P6_JUNE_EXTERNAL_REALISED_EVENT_PROBABILITY_MARKET_MINUS_MATERN,"The market produces materially different probability books, shifts mass towards warmer-ranked outcomes and assigns more probability to the realised event in June.",Do not assert which private information or causal mechanism generated the market advantage.,Results disagreement and Discussion
C07,trading,not_robust,P7_JUNE_TOTAL_NET_PNL|P7_JUNE_BREAK_EVEN_COST_PER_TRADE|P7_JUNE_TOP1_CONCENTRATION,"The one-cent historical point estimate is slightly positive, but it is statistically uncertain, cost-sensitive and highly concentrated.","Do not claim a persistent, scalable or executable trading edge.",Results trading and Conclusion
C08,trading_attribution,supported_under_fixed_policy,P7_ATTR_RAW|P7_ATTR_STATIC|P7_ATTR_MATERN,"Under the fixed June policy, static settlement correction accounts for the realised raw-to-Matérn PnL improvement, while the Matérn refinement adds no incremental June PnL.",Do not infer that Matérn has no forecasting value or no value under every trading rule.,Results trading attribution
C09,forecast_risk,supported_as_stress_test,P7_SHIFT_M0_25|P7_SHIFT_P0_00|P7_SHIFT_P0_10|P7_SHIFT_P0_25,Strategy PnL responds nonlinearly to predictive-mean shocks because contract selection and threshold activation are discrete.,Do not call the finite perturbation a globally smooth portfolio delta or a causal response to actual forecast releases.,Results sensitivity and Discussion
C10,overall_contribution,supported,C01|C02|C05|C07,"The contribution is a settlement-aware attribution framework linking local forecast correction, coherent event probabilities, market comparison and forecast-risk sensitivity.",Do not present the dissertation as proposing a new GP theorem or a profitable trading system.,"Introduction, Discussion and Conclusion"
