event_date,event_slug,event_title,event_id,event_url,market_id,market_slug,market_question,market_title,outcome_label_text,threshold_K,looks_upper_tail,looks_lower_tail,yes_token_id,clobTokenIds,outcomes,outcomePrices,resolvedOutcome,closed,active,volume,liquidity,createdAt,endDate,rule_text,event_description,event_resolutionSource,gamma_fetch_status,hko_tmax_C,hko_floor_bin_K,hko_source_label,hko_source_url,hko_parse_route,hko_outcome_available,Y_ge_K,Y_floor_bin_K,has_hko_rule_text,has_absolute_daily_max_rule_text,has_daily_extract_rule_text,has_one_decimal_rule_text,has_later_revision_exclusion,is_hko_highest_temp_family,empirical_role
2026-03-13,highest-temperature-in-hong-kong-on-march-13-2026,Highest temperature in Hong Kong on March 13?,260721,https://polymarket.com/event/highest-temperature-in-hong-kong-on-march-13-2026,1557784,highest-temperature-in-hong-kong-on-march-13-2026-23corhigher,Will the highest temperature in Hong Kong be 23°C or higher on March 13?,,"23°C or higher | Will the highest temperature in Hong Kong be 23°C or higher on March 13? | This market will resolve to the temperature range that contains the highest temperature recorded at the Hong Kong International Airport Station in degrees Celsius on 13 Mar '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Hong Kong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/hk/hong-kong/VHHH.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. | highest-temperature-in-hong-kong-on-march-13-2026-23corhigher",23.0,True,False,105079727049176982586460786683325690984261048416816328512834860964756914308798,"[""105079727049176982586460786683325690984261048416816328512834860964756914308798"", ""51089047257132277344030330182341690849494453817451402906761780951625451689352""]","['Yes', 'No']","['0', '1']",,True,True,,,2026-03-11T10:01:14.666815Z,2026-03-13T12:00:00Z,"This market will resolve to the temperature range that contains the highest temperature recorded at the Hong Kong International Airport Station in degrees Celsius on 13 Mar '26. The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Hong Kong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/hk/hong-kong/VHHH. To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C. This market can not resolve to ""Yes"" until all data for this date has been finalized. The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. https://www.wunderground.com/history/daily/hk/hong-kong/VHHH","This market will resolve to the temperature range that contains the highest temperature recorded at the Hong Kong International Airport Station in degrees Celsius on 13 Mar '26. The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Hong Kong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/hk/hong-kong/VHHH. To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C. This market can not resolve to ""Yes"" until all data for this date has been finalized. The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",https://www.wunderground.com/history/daily/hk/hong-kong/VHHH,found,21.8,21,metob_plain,https://www.hko.gov.hk/wxinfo/pastwx/metob202603.htm,read_html_table_0,True,0.0,0.0,False,False,False,False,True,True,upper_tail_threshold_candidate
2026-03-14,highest-temperature-in-hong-kong-on-march-14-2026,Highest temperature in Hong Kong on March 14?,262805,https://polymarket.com/event/highest-temperature-in-hong-kong-on-march-14-2026,1566295,highest-temperature-in-hong-kong-on-march-14-2026-24corhigher,Will the highest temperature in Hong Kong be 24°C or higher on March 14?,,"24°C or higher | Will the highest temperature in Hong Kong be 24°C or higher on March 14? | This market will resolve to the temperature range that contains the highest temperature recorded at the Hong Kong International Airport Station in degrees Celsius on 14 Mar '26.

The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Hong Kong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/hk/hong-kong/VHHH.

To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C.

This market can not resolve to ""Yes"" until all data for this date has been finalized.

The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. | highest-temperature-in-hong-kong-on-march-14-2026-24corhigher",24.0,True,False,59334591350541294762323929822958970303641554792870441284418817622760409799912,"[""59334591350541294762323929822958970303641554792870441284418817622760409799912"", ""106770691815912752904115429698681884882876399700665891512047301372563173243850""]","['Yes', 'No']","['0', '1']",,True,True,,,2026-03-12T10:01:17.57213Z,2026-03-14T12:00:00Z,"This market will resolve to the temperature range that contains the highest temperature recorded at the Hong Kong International Airport Station in degrees Celsius on 14 Mar '26. The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Hong Kong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/hk/hong-kong/VHHH. To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C. This market can not resolve to ""Yes"" until all data for this date has been finalized. The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. https://www.wunderground.com/history/daily/hk/hong-kong/VHHH","This market will resolve to the temperature range that contains the highest temperature recorded at the Hong Kong International Airport Station in degrees Celsius on 14 Mar '26. The resolution source for this market will be information from Wunderground, specifically the highest temperature recorded for all times on this day by the Forecast for the Hong Kong International Airport Station once information is finalized, available here: https://www.wunderground.com/history/daily/hk/hong-kong/VHHH. To toggle between Fahrenheit and Celsius, click the gear icon next to the search bar and switch the Temperature setting between °F and °C. This market can not resolve to ""Yes"" until all data for this date has been finalized. The resolution source for this market measures temperatures to whole degrees Celsius (eg, 9°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",https://www.wunderground.com/history/daily/hk/hong-kong/VHHH,found,24.3,24,metob_plain,https://www.hko.gov.hk/wxinfo/pastwx/metob202603.htm,read_html_table_0,True,1.0,1.0,False,False,False,False,True,True,upper_tail_threshold_candidate
2026-03-16,highest-temperature-in-hong-kong-on-march-16-2026,Highest temperature in Hong Kong on March 16?,276784,https://polymarket.com/event/highest-temperature-in-hong-kong-on-march-16-2026,1609046,highest-temperature-in-hong-kong-on-march-16-2026-24corhigher,Will the highest temperature in Hong Kong be 24°C or higher on March 16?,,"24°C or higher | Will the highest temperature in Hong Kong be 24°C or higher on March 16? | This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 16 Mar '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. | highest-temperature-in-hong-kong-on-march-16-2026-24corhigher",24.0,True,False,96547736760253325103867666165708769433810210787956568202716956033901110343233,"[""96547736760253325103867666165708769433810210787956568202716956033901110343233"", ""95516627765003586284089550741071404095361574769706007076539420876010820868229""]","['Yes', 'No']","['1', '0']",,True,True,,,2026-03-16T17:30:49.022479Z,2026-03-16T12:00:00Z,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 16 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. ","This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 16 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",,found,24.0,24,metob_plain,https://www.hko.gov.hk/wxinfo/pastwx/metob202603.htm,read_html_table_0,True,1.0,1.0,True,True,True,True,True,True,formally_certified_upper_tail_threshold
2026-03-17,highest-temperature-in-hong-kong-on-march-17-2026,Highest temperature in Hong Kong on March 17?,276872,https://polymarket.com/event/highest-temperature-in-hong-kong-on-march-17-2026,1609231,highest-temperature-in-hong-kong-on-march-17-2026-27corhigher,Will the highest temperature in Hong Kong be 27°C or higher on March 17?,,"27°C or higher | Will the highest temperature in Hong Kong be 27°C or higher on March 17? | This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 17 Mar '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. | highest-temperature-in-hong-kong-on-march-17-2026-27corhigher",27.0,True,False,90201303442793564200994242062868707253275954439605696810946009562152635995543,"[""90201303442793564200994242062868707253275954439605696810946009562152635995543"", ""34011344420246061469661753537192570309899330767705610153912525562192268409266""]","['Yes', 'No']","['0', '1']",,True,True,,,2026-03-16T18:11:55.153428Z,2026-03-18T12:00:00Z,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 17 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. ","This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 17 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",,found,24.0,24,metob_plain,https://www.hko.gov.hk/wxinfo/pastwx/metob202603.htm,read_html_table_0,True,0.0,0.0,True,True,True,True,True,True,formally_certified_upper_tail_threshold
2026-03-18,highest-temperature-in-hong-kong-on-march-18-2026,Highest temperature in Hong Kong on March 18?,276884,https://polymarket.com/event/highest-temperature-in-hong-kong-on-march-18-2026,1609293,highest-temperature-in-hong-kong-on-march-18-2026-28corhigher,Will the highest temperature in Hong Kong be 28°C or higher on March 18?,,"28°C or higher | Will the highest temperature in Hong Kong be 28°C or higher on March 18? | This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 18 Mar '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. | highest-temperature-in-hong-kong-on-march-18-2026-28corhigher",28.0,True,False,12268222159614728738434981709516892438897395269600915350011382182854202444351,"[""12268222159614728738434981709516892438897395269600915350011382182854202444351"", ""13829986985118018678267594386220844117941684781901398671386565223224320170947""]","['Yes', 'No']","['0', '1']",,True,True,,,2026-03-16T18:12:45.921261Z,2026-03-19T12:00:00Z,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 18 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. ","This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 18 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",,found,27.8,27,metob_plain,https://www.hko.gov.hk/wxinfo/pastwx/metob202603.htm,read_html_table_0,True,0.0,0.0,True,True,True,True,True,True,formally_certified_upper_tail_threshold
2026-03-19,highest-temperature-in-hong-kong-on-march-19-2026,Highest temperature in Hong Kong on March 19?,276889,https://polymarket.com/event/highest-temperature-in-hong-kong-on-march-19-2026,1609348,highest-temperature-in-hong-kong-on-march-19-2026-28corhigher,Will the highest temperature in Hong Kong be 28°C or higher on March 19?,,"28°C or higher | Will the highest temperature in Hong Kong be 28°C or higher on March 19? | This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 19 Mar '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. | highest-temperature-in-hong-kong-on-march-19-2026-28corhigher",28.0,True,False,93249664553656843954425644598282848387760105568219245579096150666609197485978,"[""93249664553656843954425644598282848387760105568219245579096150666609197485978"", ""35650273552733195446253469787787511023630934476745729655852584877384651039984""]","['Yes', 'No']","['1', '0']",,True,True,,,2026-03-16T18:13:38.025948Z,2026-03-20T12:00:00Z,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 19 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. ","This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 19 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",,found,28.1,28,metob_plain,https://www.hko.gov.hk/wxinfo/pastwx/metob202603.htm,read_html_table_0,True,1.0,1.0,True,True,True,True,True,True,formally_certified_upper_tail_threshold
2026-03-21,highest-temperature-in-hong-kong-on-march-21-2026,Highest temperature in Hong Kong on March 21?,279181,https://polymarket.com/event/highest-temperature-in-hong-kong-on-march-21-2026,1626016,highest-temperature-in-hong-kong-on-march-21-2026-27corhigher,Will the highest temperature in Hong Kong be 27°C or higher on March 21?,,"27°C or higher | Will the highest temperature in Hong Kong be 27°C or higher on March 21? | This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 21 Mar '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. | highest-temperature-in-hong-kong-on-march-21-2026-27corhigher",27.0,True,False,62955074773313067440933071197796382169974659936169570031288291349131182564927,"[""62955074773313067440933071197796382169974659936169570031288291349131182564927"", ""15046728194144439359167727014679224859363314672618972991542902655696456745621""]","['Yes', 'No']","['0', '1']",,True,True,,,2026-03-17T10:01:16.762517Z,2026-03-21T12:00:00Z,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 21 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. ","This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 21 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",,found,22.3,22,metob_plain,https://www.hko.gov.hk/wxinfo/pastwx/metob202603.htm,read_html_table_0,True,0.0,0.0,True,True,True,True,True,True,formally_certified_upper_tail_threshold
2026-03-22,highest-temperature-in-hong-kong-on-march-22-2026,Highest temperature in Hong Kong on March 22?,282557,https://polymarket.com/event/highest-temperature-in-hong-kong-on-march-22-2026,1638209,highest-temperature-in-hong-kong-on-march-22-2026-27corhigher,Will the highest temperature in Hong Kong be 27°C or higher on March 22?,,"27°C or higher | Will the highest temperature in Hong Kong be 27°C or higher on March 22? | This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 22 Mar '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. | highest-temperature-in-hong-kong-on-march-22-2026-27corhigher",27.0,True,False,83566191575630565041831420482622256292186807187848065096514280278270420733054,"[""83566191575630565041831420482622256292186807187848065096514280278270420733054"", ""59481205511614377827346185870587679055833048405367064410724490077526452065277""]","['Yes', 'No']","['0', '1']",,True,True,,,2026-03-18T10:01:17.939445Z,2026-03-22T12:00:00Z,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 22 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. ","This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 22 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",,found,25.4,25,metob_plain,https://www.hko.gov.hk/wxinfo/pastwx/metob202603.htm,read_html_table_0,True,0.0,0.0,True,True,True,True,True,True,formally_certified_upper_tail_threshold
2026-03-23,highest-temperature-in-hong-kong-on-march-23-2026,Highest temperature in Hong Kong on March 23?,285780,https://polymarket.com/event/highest-temperature-in-hong-kong-on-march-23-2026,1649223,highest-temperature-in-hong-kong-on-march-23-2026-28corhigher,Will the highest temperature in Hong Kong be 28°C or higher on March 23?,,"28°C or higher | Will the highest temperature in Hong Kong be 28°C or higher on March 23? | This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 23 Mar '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. | highest-temperature-in-hong-kong-on-march-23-2026-28corhigher",28.0,True,False,5969654045616989549233366740679567665880473089672120994014078507805960993240,"[""5969654045616989549233366740679567665880473089672120994014078507805960993240"", ""24442857668064597700465697716035922998888461434255402500109021412534472635977""]","['Yes', 'No']","['0', '1']",,True,True,,,2026-03-19T10:01:16.238807Z,2026-03-23T12:00:00Z,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 23 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. ","This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 23 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",,found,27.4,27,metob_plain,https://www.hko.gov.hk/wxinfo/pastwx/metob202603.htm,read_html_table_0,True,0.0,0.0,True,True,True,True,True,True,formally_certified_upper_tail_threshold
2026-03-24,highest-temperature-in-hong-kong-on-march-24-2026,Highest temperature in Hong Kong on March 24?,289208,https://polymarket.com/event/highest-temperature-in-hong-kong-on-march-24-2026,1660897,highest-temperature-in-hong-kong-on-march-24-2026-28corhigher,Will the highest temperature in Hong Kong be 28°C or higher on March 24?,,"28°C or higher | Will the highest temperature in Hong Kong be 28°C or higher on March 24? | This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 24 Mar '26.

The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm

This market can not resolve to ""Yes"" until data for this date has been finalized.

The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market.

Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. | highest-temperature-in-hong-kong-on-march-24-2026-28corhigher",28.0,True,False,25774213028808917783935924032705159430534396020633061949453886501450333035247,"[""25774213028808917783935924032705159430534396020633061949453886501450333035247"", ""29650281058304195164945719148058558796341920954008171093671308208061398627187""]","['Yes', 'No']","['0', '1']",,True,True,,,2026-03-20T10:01:16.469378Z,2026-03-24T12:00:00Z,"This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 24 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution. ","This market will resolve to the temperature range that contains the highest temperature recorded by the Hong Kong Observatory in degrees Celsius on 24 Mar '26. The resolution source for this market will be information from the Hong Kong Observatory, specifically the ""Absolute Daily Max (deg. C)"" the specified date once information is finalized in the relevant ""Daily Extract"", available here: https://www.weather.gov.hk/en/cis/climat.htm This market can not resolve to ""Yes"" until data for this date has been finalized. The resolution source for this market measures temperatures in Celsius to one decimal place (eg, 9.1°C). Thus, this is the level of precision that will be used when resolving the market. Any revisions to temperatures recorded after data is finalized for this market's timeframe will not be considered for this market's resolution.",,found,26.9,26,metob_plain,https://www.hko.gov.hk/wxinfo/pastwx/metob202603.htm,read_html_table_0,True,0.0,0.0,True,True,True,True,True,True,formally_certified_upper_tail_threshold
