claim_id,claim,principal_evidence,permitted_strength,prohibited_extension
C01,The selected residual distribution improves continuous temperature forecasting relative to the raw deterministic forecast on the development comparison used for model selection.,04_model_selection and 05_continuous_calibration,sample-specific comparative result,universal superiority or causal attribution
C02,The pooled empirical residual family was selected by date-grouped out-of-fold CRPS under the stated parsimony rule.,04_model_selection,locked model-selection statement,claim that every flexible model was inferior in all settings
C03,The continuous predictive dispersion and event-probability mixing parameters were selected using development observations only.,05_continuous_calibration and 09_probability_calibration,verified no-lookahead design statement,claim that calibration is population optimal
C04,Locked categorical forecasts are evaluated separately on the May holdout and June external block.,10_categorical_evaluation,locked out-of-sample comparison,pooling the two blocks without disclosure
C05,Weather-derived probabilities and market probabilities are compared only on exact common support.,11_market_comparison,common-support score comparison,market-efficiency conclusion
C06,The trading rule was selected on the development period and then evaluated without reselection on the May holdout and June block.,12_trading_strategy,reduced-form locked strategy evaluation,executable or scalable profitability claim
C07,Trading returns are hypothetical one-share payoffs under the stated price and cost rules.,12_trading_strategy,reduced-form economic diagnostic,claim of realised trading profits
C08,"Uncertainty is assessed at settlement-date level using paired effects, a date bootstrap and sign-flip diagnostics.",13_uncertainty_analysis,finite-sample uncertainty description,population-level statistical significance claim
C09,Decision-rule sensitivity is reported rather than suppressed by a pooled average.,13_uncertainty_analysis,descriptive heterogeneity statement,post-hoc rule selection
C10,The empirical contribution concerns probabilistic post-processing of deterministic IFS forecasts; it does not constitute an implemented AIFS ENS result.,full empirical lineage,accurate scope statement,"AIFS, ENS or Earth-2 implementation claim"
