target_date,decision_rule,model_probability,lower_bound_key,upper_bound_key,lower_bound_c,upper_bound_c,event_label,chronology_block,event_key,p_market,market_event_label,realised_yes,edge,rule_order
2026-04-12,12h_prior,0.0009090909090909,-inf,21.000000,,21.0,20°C or below,development_validation,-inf|21.000000,0.0025,20°C or below,0,-0.0015909090909091,1
2026-04-12,12h_prior,0.0009090909090909,21.000000,22.000000,21.0,22.0,21°C,development_validation,21.000000|22.000000,0.0015,21°C,0,-0.0005909090909091,1
2026-04-12,12h_prior,0.0009090909090909,22.000000,23.000000,22.0,23.0,22°C,development_validation,22.000000|23.000000,0.0015,22°C,0,-0.0005909090909091,1
2026-04-12,12h_prior,0.0009090909090909,23.000000,24.000000,23.0,24.0,23°C,development_validation,23.000000|24.000000,0.0015,23°C,0,-0.0005909090909091,1
2026-04-12,12h_prior,0.0009090909090909,24.000000,25.000000,24.0,25.0,24°C,development_validation,24.000000|25.000000,0.0035,24°C,0,-0.0025909090909091003,1
2026-04-12,12h_prior,0.0209090909090909,25.000000,26.000000,25.0,26.0,25°C,development_validation,25.000000|26.000000,0.004,25°C,0,0.0169090909090909,1
2026-04-12,12h_prior,0.0709090909090909,26.000000,27.000000,26.0,27.0,26°C,development_validation,26.000000|27.000000,0.0155,26°C,0,0.055409090909090894,1
2026-04-12,12h_prior,0.2509090909090909,27.000000,28.000000,27.0,28.0,27°C,development_validation,27.000000|28.000000,0.158,27°C,0,0.09290909090909091,1
2026-04-12,12h_prior,0.4909090909090909,28.000000,29.000000,28.0,29.0,28°C,development_validation,28.000000|29.000000,0.305,28°C,1,0.1859090909090909,1
2026-04-12,12h_prior,0.1309090909090909,29.000000,30.000000,29.0,30.0,29°C,development_validation,29.000000|30.000000,0.315,29°C,0,-0.1840909090909091,1
2026-04-12,12h_prior,0.0309090909090909,30.000000,inf,30.0,,30°C or higher,development_validation,30.000000|inf,0.245,30°C or higher,0,-0.2140909090909091,1
2026-04-12,24h_prior,0.0009090909090909,-inf,21.000000,,21.0,20°C or below,development_validation,-inf|21.000000,0.0025,20°C or below,0,-0.0015909090909091,0
2026-04-12,24h_prior,0.0009090909090909,21.000000,22.000000,21.0,22.0,21°C,development_validation,21.000000|22.000000,0.0015,21°C,0,-0.0005909090909091,0
2026-04-12,24h_prior,0.0009090909090909,22.000000,23.000000,22.0,23.0,22°C,development_validation,22.000000|23.000000,0.0015,22°C,0,-0.0005909090909091,0
2026-04-12,24h_prior,0.0009090909090909,23.000000,24.000000,23.0,24.0,23°C,development_validation,23.000000|24.000000,0.0015,23°C,0,-0.0005909090909091,0
2026-04-12,24h_prior,0.0009090909090909,24.000000,25.000000,24.0,25.0,24°C,development_validation,24.000000|25.000000,0.008,24°C,0,-0.0070909090909091,0
2026-04-12,24h_prior,0.0109090909090909,25.000000,26.000000,25.0,26.0,25°C,development_validation,25.000000|26.000000,0.0115,25°C,0,-0.0005909090909091003,0
2026-04-12,24h_prior,0.0709090909090909,26.000000,27.000000,26.0,27.0,26°C,development_validation,26.000000|27.000000,0.026,26°C,0,0.0449090909090909,0
2026-04-12,24h_prior,0.2009090909090909,27.000000,28.000000,27.0,28.0,27°C,development_validation,27.000000|28.000000,0.0625,27°C,0,0.1384090909090909,0
2026-04-12,24h_prior,0.4809090909090909,28.000000,29.000000,28.0,29.0,28°C,development_validation,28.000000|29.000000,0.285,28°C,1,0.19590909090909092,0
2026-04-12,24h_prior,0.2009090909090909,29.000000,30.000000,29.0,30.0,29°C,development_validation,29.000000|30.000000,0.345,29°C,0,-0.14409090909090908,0
2026-04-12,24h_prior,0.0309090909090909,30.000000,inf,30.0,,30°C or higher,development_validation,30.000000|inf,0.28,30°C or higher,0,-0.24909090909090914,0
2026-04-12,6h_prior,0.0009090909090909,-inf,21.000000,,21.0,20°C or below,development_validation,-inf|21.000000,0.0025,20°C or below,0,-0.0015909090909091,2
2026-04-12,6h_prior,0.0009090909090909,21.000000,22.000000,21.0,22.0,21°C,development_validation,21.000000|22.000000,0.0015,21°C,0,-0.0005909090909091,2
