target_date,decision_rule,documented_reason_text,reason_category,reason_classification_basis,missing_keys_on_target_date,missing_scope,sample_period,supported_keys_on_target_date,imputed
2026-03-16,12h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-16,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-16,event_day_open,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-17,24h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-17,12h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-17,event_day_open,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-18,24h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",2,partial_date_rule_absence,weather_plus_market_development,2,False
2026-03-18,event_day_open,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",2,partial_date_rule_absence,weather_plus_market_development,2,False
2026-03-19,24h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",4,complete_date_absence,weather_plus_market_development,0,False
2026-03-19,12h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",4,complete_date_absence,weather_plus_market_development,0,False
2026-03-19,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",4,complete_date_absence,weather_plus_market_development,0,False
2026-03-19,event_day_open,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",4,complete_date_absence,weather_plus_market_development,0,False
2026-03-21,24h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-21,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-21,event_day_open,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-22,24h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",2,partial_date_rule_absence,weather_plus_market_development,2,False
2026-03-22,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",2,partial_date_rule_absence,weather_plus_market_development,2,False
2026-03-23,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",1,partial_date_rule_absence,weather_plus_market_development,3,False
2026-03-24,12h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",2,partial_date_rule_absence,weather_plus_market_development,2,False
2026-03-24,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",2,partial_date_rule_absence,weather_plus_market_development,2,False
2026-03-25,12h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-25,6h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-25,event_day_open,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-26,24h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
2026-03-26,12h_prior,missing_reason=no_certified_deterministic_forecast,documented_missing_support_other,"The Phase 8 registry contains documentary text, but it does not match a narrower predefined technical category.",3,partial_date_rule_absence,weather_plus_market_development,1,False
